0 -1 2e-26 0.01 1 1 0.0130215
81 61
nH T Edot YT YHI YHeI YHeII Ye E
1.77828e-05 31.6228 6.96011e-32 1.58444 0.0108031 0.00132136 0.0476294 0.794231 6.19997e+09
1.77828e-05 42.1697 6.15075e-32 1.58853 0.00914808 0.00107266 0.0456912 0.798321 8.28914e+09
1.77828e-05 56.2341 5.43362e-32 1.59251 0.00773376 0.000864204 0.0435416 0.802302 1.10814e+10
1.77828e-05 74.9894 4.79608e-32 1.5964 0.00652794 0.000690782 0.0412021 0.806194 1.48135e+10
1.77828e-05 100 4.22728e-32 1.60022 0.005502 0.000547562 0.0387006 0.810008 1.98013e+10
1.77828e-05 133.352 3.71842e-32 1.60395 0.00463069 0.000430201 0.0360714 0.813743 2.6467e+10
1.77828e-05 177.828 3.26271e-32 1.6076 0.00389189 0.000334851 0.033354 0.81739 3.53746e+10
1.77828e-05 237.137 2.85326e-32 1.61114 0.00326637 0.000258115 0.0305914 0.820932 4.72767e+10
1.77828e-05 316.228 2.48376e-32 1.61456 0.00273746 0.000196997 0.027828 0.824346 6.31781e+10
1.77828e-05 421.697 2.14769e-32 1.61782 0.00229079 0.000148854 0.0251076 0.82761 8.44197e+10
1.77828e-05 562.341 1.84032e-32 1.62091 0.00191404 0.00011137 0.0224708 0.830698 1.1279e+11
1.77828e-05 749.894 1.56229e-32 1.6238 0.00159663 8.2527e-05 0.019953 0.833591 1.50677e+11
1.77828e-05 1000 1.31193e-32 1.62648 0.00132953 6.05936e-05 0.017583 0.836272 2.01262e+11
1.77828e-05 1333.52 1.08989e-32 1.62894 0.00110506 4.41051e-05 0.0153821 0.838731 2.68793e+11
1.77828e-05 1778.28 8.9541e-33 1.63117 0.000916635 3.18451e-05 0.0133641 0.840961 3.58933e+11
1.77828e-05 2371.37 7.29397e-33 1.63318 0.000758692 2.28227e-05 0.0115354 0.842966 4.79233e+11
1.77828e-05 3162.28 5.9201e-33 1.63496 0.000626485 1.62456e-05 0.00989618 0.844751 6.39766e+11
1.77828e-05 4216.97 4.80237e-33 1.63654 0.000515987 1.14922e-05 0.00844115 0.846326 8.53963e+11
1.77828e-05 5623.41 3.87733e-33 1.63791 0.000423785 8.08352e-06 0.00716115 0.847705 1.13974e+12
1.77828e-05 7498.94 3.08329e-33 1.63911 0.000346987 5.65588e-06 0.00604419 0.848903 1.52098e+12
1.77828e-05 10000 2.34486e-33 1.64015 0.000283145 3.93755e-06 0.00507657 0.849938 2.02954e+12
1.77828e-05 13335.2 1.51992e-33 1.64104 0.000230182 2.72795e-06 0.00424381 0.850826 2.70789e+12
1.77828e-05 17782.8 2.27348e-34 1.64179 0.000186236 1.88071e-06 0.00353136 0.851585 3.6127e+12
1.77828e-05 23713.7 -2.4236e-33 1.64244 0.000149009 1.29e-06 0.00292513 0.852229 4.81951e+12
1.77828e-05 31622.8 -7.67922e-33 1.64299 0.000114417 8.79871e-07 0.00241189 0.852778 6.42907e+12
1.77828e-05 42169.7 -1.66725e-32 1.64346 7.81637e-05 6.02251e-07 0.00197935 0.853247 8.57575e+12
1.77828e-05 56234.1 -3.04415e-32 1.64386 4.4242e-05 4.69977e-07 0.00161454 0.853646 1.14387e+13
1.77828e-05 74989.4 -4.91365e-32 1.64421 2.16489e-05 5.39957e-07 0.0012872 0.853996 1.5257e+13
1.77828e-05 100000 -7.16122e-32 1.6446 1.02474e-05 6.03799e-07 0.000907432 0.854387 2.03504e+13
1.77828e-05 133352 -9.39766e-32 1.64505 5.05308e-06 3.65496e-07 0.000458562 0.854842 2.71452e+13
1.77828e-05 177828 -1.08809e-31 1.64534 2.65993e-06 1.25922e-07 0.000170661 0.855132 3.62051e+13
1.77828e-05 237137 -9.95352e-32 1.64545 1.49511e-06 3.57193e-08 6.13095e-05 0.855243 4.82835e+13
1.77828e-05 316228 -6.77007e-32 1.64549 8.90425e-07 1.02483e-08 2.4451e-05 0.855281 6.43886e+13
1.77828e-05 421697 -5.54557e-32 1.6455 5.56706e-07 3.15181e-09 1.10365e-05 0.855294 8.58643e+13
1.77828e-05 562341 -5.03355e-32 1.64551 3.62269e-07 1.04722e-09 5.54762e-06 0.8553 1.14502e+14
1.77828e-05 749894 -4.60551e-32 1.64551 2.43554e-07 3.73962e-10 3.04097e-06 0.855303 1.52691e+14
1.77828e-05 1e+06 -4.72593e-32 1.64551 1.68114e-07 1.42427e-10 1.78473e-06 0.855304 2.03617e+14
1.77828e-05 1.33352e+06 -4.1601e-32 1.64551 1.18513e-07 5.74174e-11 1.10515e-06 0.855305 2.71528e+14
1.77828e-05 1.77828e+06 -2.93654e-32 1.64551 8.49437e-08 2.43304e-11 7.13837e-07 0.855305 3.62089e+14
1.77828e-05 2.37137e+06 -1.7154e-32 1.64551 6.16666e-08 1.07666e-11 4.76671e-07 0.855305 4.82854e+14
1.77828e-05 3.16228e+06 -1.1323e-32 1.64552 4.51981e-08 4.9447e-12 3.26729e-07 0.855306 6.43896e+14
1.77828e-05 4.21697e+06 -8.38865e-33 1.64552 3.33558e-08 2.34295e-12 2.28554e-07 0.855306 8.58649e+14
1.77828e-05 5.62341e+06 -7.25055e-33 1.64552 2.47315e-08 1.13894e-12 1.62382e-07 0.855306 1.14503e+15
1.77828e-05 7.49894e+06 -7.18021e-33 1.64552 1.83914e-08 5.65054e-13 1.16702e-07 0.855306 1.52692e+15
1.77828e-05 1e+07 -7.76707e-33 1.64552 1.36998e-08 2.84771e-13 8.45549e-08 0.855306 2.03618e+15
1.77828e-05 1.33352e+07 -8.26698e-33 1.64552 1.02138e-08 1.45206e-13 6.15897e-08 0.855306 2.71529e+15
1.77828e-05 1.77828e+07 -8.52961e-33 1.64552 7.61771e-09 1e-13 4.5e-08 0.855306 3.62089e+15
1.77828e-05 2.37137e+07 -9.18654e-33 1.64552 5.68244e-09 1e-13 3.29244e-08 0.855306 4.82854e+15
1.77828e-05 3.16228e+07 -1.0447e-32 1.64552 4.23944e-09 1e-13 2.4094e-08 0.855306 6.43896e+15
1.77828e-05 4.21697e+07 -1.23129e-32 1.64552 3.16349e-09 1e-13 1.7623e-08 0.855306 8.58649e+15
1.77828e-05 5.62341e+07 -1.4809e-32 1.64552 2.36105e-09 1e-13 1.28793e-08 0.855306 1.14503e+16
1.77828e-05 7.49894e+07 -1.80548e-32 1.64552 1.76221e-09 1e-13 9.40457e-09 0.855306 1.52692e+16
1.77828e-05 1e+08 -2.22114e-32 1.64552 1.31476e-09 1e-13 6.86269e-09 0.855306 2.03618e+16
1.77828e-05 1.33352e+08 -2.75462e-32 1.64552 9.7991e-10 1e-13 5.00558e-09 0.855306 2.71529e+16
1.77828e-05 1.77828e+08 -3.43964e-32 1.64552 7.28911e-10 1e-13 3.65e-09 0.855306 3.62089e+16
1.77828e-05 2.37137e+08 -4.32458e-32 1.64552 5.4058e-10 1e-13 2.66083e-09 0.855306 4.82854e+16
1.77828e-05 3.16228e+08 -5.47316e-32 1.64552 3.99327e-10 1e-13 1.93894e-09 0.855306 6.43896e+16
2.37137e-05 10 8.32327e-31 1.42752 0.1 0.059 3.84434e-09 0.637306 1.76642e+09
2.37137e-05 13.3352 1.66981e-31 1.56239 0.023015 0.00320497 0.0537029 0.772178 2.57812e+09
2.37137e-05 17.7828 1.47129e-31 1.56764 0.019642 0.00268988 0.052857 0.777427 3.44952e+09
2.37137e-05 23.7137 1.29679e-31 1.57254 0.0167228 0.00223866 0.0517751 0.782331 4.6144e+09
2.37137e-05 31.6228 1.14334e-31 1.57716 0.014206 0.00184932 0.0504506 0.786951 6.17148e+09
2.37137e-05 42.1697 1.00831e-31 1.58155 0.0120436 0.00151697 0.048883 0.791345 8.25273e+09
2.37137e-05 56.2341 8.89195e-32 1.58578 0.0101914 0.00123557 0.0470778 0.795566 1.10346e+10
2.37137e-05 74.9894 7.83844e-32 1.58986 0.00860945 0.000998949 0.0450464 0.799652 1.47527e+10
2.37137e-05 100 6.90207e-32 1.59384 0.00726147 0.000801299 0.0428065 0.803635 1.97224e+10
2.37137e-05 133.352 6.06886e-32 1.59774 0.00611534 0.000637345 0.0403826 0.807533 2.63646e+10
2.37137e-05 177.828 5.32487e-32 1.60156 0.00514263 0.000502391 0.0378058 0.811353 3.52417e+10
2.37137e-05 237.137 4.65863e-32 1.6053 0.00431846 0.000392271 0.0351135 0.815089 4.71053e+10
2.37137e-05 316.228 4.06039e-32 1.60894 0.00362115 0.000303283 0.0323475 0.818731 6.29584e+10
2.37137e-05 421.697 3.5179e-32 1.61247 0.00303194 0.000232133 0.0295528 0.822257 8.41403e+10
2.37137e-05 562.341 3.02347e-32 1.61585 0.0025347 0.000175884 0.026775 0.825645 1.12439e+11
2.37137e-05 749.894 2.576e-32 1.61908 0.00211555 0.000131938 0.0240575 0.828869 1.50239e+11
2.37137e-05 1000 2.17285e-32 1.62212 0.00176265 9.80137e-05 0.02144 0.831907 2.00722e+11
2.37137e-05 1333.52 1.81369e-32 1.62495 0.00146587 7.21356e-05 0.0189561 0.83474 2.68135e+11
2.37137e-05 1778.28 1.49673e-32 1.62756 0.0012166 5.26235e-05 0.016632 0.837352 3.58139e+11
2.37137e-05 2371.37 1.22248e-32 1.62995 0.00100751 3.80737e-05 0.0144864 0.839736 4.78285e+11
2.37137e-05 3162.28 9.91907e-33 1.6321 0.000832363 2.73367e-05 0.01253 0.841889 6.38646e+11
2.37137e-05 4216.97 8.01294e-33 1.63402 0.000685876 1.94892e-05 0.0107667 0.843814 8.52652e+11
2.37137e-05 5623.41 6.41536e-33 1.63573 0.000563561 1.38039e-05 0.00919397 0.845521 1.13822e+12
2.37137e-05 7498.94 5.02073e-33 1.63723 0.000461614 9.7176e-06 0.0078048 0.84702 1.51923e+12
2.37137e-05 10000 3.68248e-33 1.63854 0.000376815 6.80162e-06 0.00658842 0.848327 2.02754e+12
2.37137e-05 13335.2 2.1275e-33 1.63967 0.000306423 4.73419e-06 0.00553177 0.849458 2.70564e+12
2.37137e-05 17782.8 -4.34497e-34 1.64064 0.000247932 3.277e-06 0.00462045 0.850431 3.61016e+12
2.37137e-05 23713.7 -5.80815e-33 1.64147 0.000197938 2.25546e-06 0.00383961 0.851264 4.81668e+12
2.37137e-05 31622.8 -1.65027e-32 1.64219 0.000149918 1.54251e-06 0.00317462 0.851978 6.42594e+12
2.37137e-05 42169.7 -3.47559e-32 1.6428 9.80596e-05 1.05548e-06 0.00261134 0.852594 8.57234e+12
2.37137e-05 56234.1 -6.21921e-32 1.64333 5.17372e-05 8.12053e-07 0.00213335 0.853119 1.1435e+13
2.37137e-05 74989.4 -9.86375e-32 1.6438 2.37897e-05 8.85563e-07 0.00169328 0.853587 1.52532e+13
2.37137e-05 100000 -1.41044e-31 1.64435 1.08375e-05 8.86309e-07 0.00114875 0.854145 2.03474e+13
2.37137e-05 133352 -1.8308e-31 1.64498 5.23398e-06 4.59702e-07 0.000528634 0.854771 2.7144e+13
2.37137e-05 177828 -2.14396e-31 1.64533 2.72422e-06 1.41218e-07 0.000181925 0.855121 3.62049e+13
2.37137e-05 237137 -2.00606e-31 1.64545 1.5215e-06 3.79172e-08 6.30812e-05 0.855241 4.82835e+13
2.37137e-05 316228 -1.30981e-31 1.64549 9.02722e-07 1.06137e-08 2.48041e-05 0.85528 6.43886e+13
2.37137e-05 421697 -1.03297e-31 1.6455 5.63086e-07 3.2252e-09 1.11279e-05 0.855294 8.58643e+13
2.37137e-05 562341 -9.21252e-32 1.64551 3.65889e-07 1.06472e-09 5.57733e-06 0.8553 1.14502e+14
2.37137e-05 749894 -8.35302e-32 1.64551 2.45769e-07 3.78803e-10 3.05255e-06 0.855303 1.52691e+14
2.37137e-05 1e+06 -8.52245e-32 1.64551 1.69555e-07 1.43945e-10 1.78995e-06 0.855304 2.03617e+14
2.37137e-05 1.33352e+06 -7.52357e-32 1.64551 1.195e-07 5.79477e-11 1.10779e-06 0.855305 2.71528e+14
2.37137e-05 1.77828e+06 -5.34591e-32 1.64551 8.56494e-08 2.45336e-11 7.15306e-07 0.855305 3.62089e+14
2.37137e-05 2.37137e+06 -3.10573e-32 1.64551 6.21887e-08 1.08509e-11 4.77551e-07 0.855305 4.82854e+14
2.37137e-05 3.16228e+06 -2.03127e-32 1.64552 4.55951e-08 4.98215e-12 3.2729e-07 0.855306 6.43896e+14
2.37137e-05 4.21697e+06 -1.48875e-32 1.64552 3.36643e-08 2.36055e-12 2.2893e-07 0.855306 8.58649e+14
2.37137e-05 5.62341e+06 -1.26745e-32 1.64552 2.49753e-08 1.14761e-12 1.62644e-07 0.855306 1.14503e+15
2.37137e-05 7.49894e+06 -1.24154e-32 1.64552 1.85865e-08 5.69485e-13 1.1689e-07 0.855306 1.52692e+15
